"poly_id","B2_mean","B2_stdDev","B2_count","B3_mean","B3_stdDev","B3_count","B4_mean","B4_stdDev","B4_count","B5_mean","B5_stdDev","B5_count","B6_mean","B6_stdDev","B6_count","B7_mean","B7_stdDev","B7_count","B8_mean","B8_stdDev","B8_count","B8A_mean","B8A_stdDev","B8A_count","B11_mean","B11_stdDev","B11_count","B12_mean","B12_stdDev","B12_count","NDVI_mean","NDVI_stdDev","NDVI_count","NDMI_mean","NDMI_stdDev","NDMI_count","NBR_mean","NBR_stdDev","NBR_count","NDRE1_mean","NDRE1_stdDev","NDRE1_count","GNDVI_mean","GNDVI_stdDev","GNDVI_count","MSI_mean","MSI_stdDev","MSI_count","SWIRR_mean","SWIRR_stdDev","SWIRR_count","EVI_mean","EVI_stdDev","EVI_count"
"P011",0.0160921150378731,0.0030254806714299,374,0.0378655346154342,0.00655084957951743,374,0.0228590191421633,0.00459235930954709,374,0.0726384118267682,0.00978922534089326,374,0.160504096382722,0.019089187873345,374,0.184170090244723,0.0210761247578467,374,0.199592780900134,0.0279617731814792,374,0.208295339201605,0.0239042823032092,374,0.101907987104337,0.0112098765738588,374,0.0502164679584148,0.00633708261165866,374,0.792988890694386,0.0390928313859326,374,0.319991468799065,0.0556867120237098,374,0.594801335319099,0.0451245759013447,374,0.46326635230801,0.0557110672715155,374,0.681250367068657,0.0269392253126687,374,0.518365895020235,0.0754668122416462,374,2.03462073137256,0.0619220096429561,374,0.362319880304445,0.0466453891599502,374
"P012",0.0372508382870388,0.0205224277943719,672,0.0547222213421901,0.0197727035184937,672,0.0537216777489695,0.0366667070607363,672,0.0940063548966594,0.0304625630108052,672,0.184474811978123,0.0395934807730286,672,0.215984257263873,0.0473048655999314,672,0.232947453351442,0.0562408493599281,672,0.244205577149641,0.0500544161493133,672,0.157524388436546,0.0709423420424627,672,0.0938724717013542,0.0551410544068759,672,0.636357720015524,0.216079794653266,672,0.214502693907238,0.242594765940166,672,0.446128210793067,0.262610409548538,672,0.423646723910612,0.144669941711798,672,0.616946154513585,0.12137234742039,672,0.718179934714202,0.364789070406957,672,1.86182397503053,0.348343813962485,672,0.351826443632601,0.134986633085126,672
"P013",0.0132041793622612,0.00371396735023453,1337,0.0279257774914193,0.00782625067828598,1337,0.0158270660248417,0.0044684142107634,1337,0.052459103656993,0.0115531520147982,1337,0.157365692337099,0.0302718671531564,1337,0.189559468233647,0.0351619418692694,1337,0.2051355056475,0.0431028609516377,1337,0.212185034926972,0.0385934190086462,1337,0.0805600898339607,0.0135575313189323,1337,0.0363336108972747,0.00736324073978668,1337,0.85803646547309,0.0191558646669899,1337,0.431612663990155,0.0476673311691298,1337,0.69714420812043,0.0336016587321381,1337,0.592055694719338,0.0376916304377002,1337,0.763134530848146,0.023335428929567,1337,0.398604995225783,0.0473268173051287,1337,2.23419477340947,0.112992612269965,1337,0.391732189974942,0.0676257510553507,1337
"P014",0.0126642248117425,0.00374280150277635,1444,0.0270903741908493,0.00649461826660644,1444,0.0159955105580844,0.00464237584455301,1444,0.051171361981935,0.00868028878352798,1444,0.141862720731883,0.0195620165435346,1444,0.169210626411467,0.0221546067978095,1444,0.18437691967987,0.0304447765681123,1444,0.191282064310799,0.024212080618827,1444,0.0767805580748772,0.0101733754121934,1444,0.0360034111112952,0.0064023642254371,1444,0.841501305756994,0.0282567527318243,1444,0.40823314915155,0.0539987869997519,1444,0.671143350323429,0.0428130486705845,1444,0.564224374766688,0.0391353437536185,1444,0.745797924959974,0.027401417039429,1444,0.422523345261808,0.059207539120848,1444,2.14645728658478,0.101322255064092,1444,0.353894690910233,0.0487884434452895,1444
"P015",0.0154007653010382,0.0023524245269719,12321,0.0304939321476154,0.00525239045424635,12321,0.016726496742622,0.00294861771961107,12321,0.054795900092107,0.00630874764798462,12321,0.164056927300765,0.0170135078062803,12321,0.195914774182757,0.019456545156174,12321,0.213672362985958,0.0300031821112653,12321,0.218084139888912,0.0204331526140505,12321,0.0765313805223507,0.00592483935681429,12321,0.0333966202596969,0.00345493927772535,12321,0.854644979016935,0.0171887312727426,12321,0.468443530338579,0.0462823810043994,12321,0.726914007836224,0.0323064845977018,12321,0.589561114298259,0.0340570081769096,12321,0.750757905325146,0.0191458357926615,12321,0.363389814670381,0.044545164966062,12321,2.29907744020142,0.0997183326456536,12321,0.409627086933457,0.0487910782827801,12321
"P016",0.0144414015530328,0.00356949086829534,368,0.0253789594808711,0.00703454245528625,368,0.0162205768736883,0.0045058703008313,368,0.0464487487552857,0.00816200037013927,368,0.129994690787023,0.0207906673287332,368,0.155913758455325,0.0240495415988379,368,0.168318289149553,0.039139687412417,368,0.174913795393885,0.0256146779922327,368,0.0784019575690714,0.0101287714990842,368,0.0355013737132671,0.00570076570477613,368,0.823667444750726,0.0298555822711524,368,0.350812026956058,0.101667085328241,368,0.640307357166481,0.0777577520682775,368,0.558263111343677,0.0714814491881848,368,0.739287549189006,0.0278451955111721,368,0.490500721182606,0.127889393417456,368,2.21937692892945,0.101239235950566,368,0.326388700284068,0.0668540851170953,368
"P017",0.0158059889828996,0.00785328202861449,1573,0.0289062801306921,0.0109343303599888,1573,0.0176601803220872,0.00882728694173507,1573,0.0503790232624812,0.0132472852265449,1573,0.152574059720662,0.0340817180054427,1573,0.185412444389478,0.0396491966665089,1573,0.191623523156995,0.0496416214545102,1573,0.204461619901398,0.0426984639727813,1573,0.0805406897739071,0.0182656503579921,1573,0.0358171039377926,0.0113094438273126,1573,0.829240574522158,0.0725726289128779,1573,0.399424987452022,0.0911782799964359,1573,0.678611714348387,0.0845340287112096,1573,0.578755173919575,0.0737763200332512,1573,0.73806776535802,0.0685641284964725,1573,0.436110317930312,0.103759685712608,1573,2.29705050916501,0.209873295073149,1573,0.365520483447709,0.0857334714619034,1573
"P018",0.018574494934502,0.00470842251150059,14174,0.0321618354602028,0.00863845854857394,14174,0.0168865262171502,0.00552804597525856,14174,0.0549756879502323,0.0139763199598336,14174,0.183384289063527,0.046723673770599,14174,0.223322144681951,0.0568644123062702,14174,0.23448667795964,0.0629124997706595,14174,0.242249751457249,0.0601083161753204,14174,0.0782134641061431,0.0182367026997883,14174,0.0327438189592217,0.00973533541039935,14174,0.861714443083834,0.0388613499922475,14174,0.490748691538061,0.0795081734948087,14174,0.747826827732821,0.0643553155738169,14174,0.615505001744997,0.0512174133452705,14174,0.755978767490525,0.0357432302365454,14174,0.345698835001439,0.0778795203404636,14174,2.42181683441775,0.209889323784577,14174,0.450050553453017,0.10456087250647,14174
"P019",0.0218308775583455,0.00621426800124912,7914,0.0380824630202314,0.0123917239216153,7914,0.0195997138750766,0.00642539173013615,7914,0.0634052713899506,0.0210627909867168,7914,0.182419549837292,0.0589221213595468,7914,0.213696775310745,0.0672329100609993,7914,0.220710034516508,0.0722690670616768,7914,0.230180960154437,0.0708531224964437,7914,0.0820986303682566,0.0246035785351294,7914,0.0372312431541047,0.012185357011547,7914,0.832350831804354,0.0420430363978671,7914,0.451619824239385,0.0730538804296082,7914,0.706192775814324,0.0624452717845861,7914,0.551351052356397,0.0555916822267488,7914,0.703707587412472,0.0422081567211935,7914,0.381484563627241,0.0749273907162499,7914,2.2336179330021,0.192612144730335,7914,0.421918013077188,0.114867873842055,7914
"P020",0.0273835192569753,0.0141950294859726,4222,0.044166603919048,0.0158803676500547,4222,0.0335455772445885,0.0296085484991871,4222,0.0747813730742641,0.0266682436066846,4222,0.19671284565093,0.0496205391126074,4222,0.233970309356292,0.0566103789551167,4222,0.244475269233949,0.0600989275378833,4222,0.25523297352652,0.0572984909407117,4222,0.117491743886969,0.0649805521281772,4222,0.0627980281695733,0.050423388737242,4222,0.76276957059852,0.190630715578563,4222,0.37230321835197,0.237625974884813,4222,0.610344105629839,0.252541615969065,4222,0.530447548223552,0.134206188820984,4222,0.690630498835601,0.0978799242901264,4222,0.516713872361297,0.343300289164172,4222,2.14850288099935,0.389953691664277,4222,0.426609391408137,0.139067367520567,4222
