"poly_id","area_ha","n_tiles","lidar_year","dens_raw","dens_used","zq25","zq50","zq75","zq95","zq25_zq95","crr","above_two_thirds","rumple","chm_sd","cv_first","rh10","p_mid","p_under","cover","gap_frac","vci","ztop","n_cells"
"P065",48.32,3,2023,33.9,14.99,14.05,25.38,33.99,44.29,0.317227365093701,0.459394367638669,0.255207311355602,5.01818658053428,14.4206456787391,0.718401003566212,2.49,0.167022337952107,0.158808157594882,0.821376786208387,0.0683025424483465,0.968310793016937,50.7,482881
"P066",13.71,1,2023,32.1,15.2,12.36,20.93,25.66,40.93,0.30197898851698,0.344963069811166,0.0784352415150319,3.66014807522349,12.6878368808267,0.709794063730563,1.91,0.152836045658392,0.228430232794587,0.845520049014892,0.0498905429071804,0.888430545740043,54.71,137040
"P067",22.26,2,2023,33.2,15.02,12.72,24.1,33.88,42.92,0.29636533084809,0.46755815058138,0.29945000035997,5.05987030485135,13.5665147112289,0.636645802837167,3.32,0.217138898861747,0.133285078604835,0.897465889656929,0.0304292725017527,0.97311884484374,48.14,222516
"P069",9.08,2,2019,34.3,15.31,13.64,23.53,32.77,45.15,0.302104097452935,0.406386820936035,0.160111963180656,5.6861328263218,14.1950161027398,0.721604620686496,1.96,0.178001750194067,0.176062669061893,0.838118892610294,0.0426362143274435,0.953112872248262,55.37,90721
"P070",3.78,2,2019,33.3,15.46,8.46,18.51,27.4,40.09,0.211025193315041,0.348853210212917,0.120893446206431,4.82387669314571,13.0837838438955,0.777914327137278,2.07,0.195543495333886,0.261576819820649,0.893921684156886,0.0168679165342654,0.911705056165015,50.54,37764
"P071",12.47,1,2019,32.8,14.38,16.07,24.74,33.06,44.9,0.357906458797327,0.448045889170947,0.20044295632234,5.4640269708452,13.7303324568828,0.61867072751672,2.95,0.14847175600466,0.131729140830233,0.88569128159375,0.0373929140988757,0.957928602229761,52.66,124783
"P072",5.79,2,2019,36.6,15.49,6.61,14.81,28.78,43.94,0.150432407828858,0.330194272376142,0.158430913042682,5.19557395858878,14.8605916393237,0.900150238073931,2.51,0.303140287971451,0.234780584474307,0.854923775870772,0.0539822703597668,0.931246622793627,52.07,57982
"P073",28.95,2,2019,32.1,14.65,11.62,22.81,32.97,45.93,0.25299368604398,0.403962835822804,0.186045103430678,5.73921730887569,15.1530204025361,0.751283203572293,2.06,0.180833485060498,0.20346701875857,0.85774901946797,0.0468521330940218,0.960168288279108,54,289720
"P074",3.33,1,2019,32.5,15.08,23.42,29.71,34.72,39.98,0.585792896448224,0.627331492345131,0.513423375481792,3.60851365027266,8.8467650346758,0.343851385266025,14.89,0.0552856526601024,0.0458832595521194,0.964584609926791,0.00774240014404465,0.908754020265842,44.17,33323
"P075",2.51,1,2023,32.3,15.78,8.22,13.83,20.43,35.29,0.232927174837064,0.334744693079522,0.126626838973042,2.76147592789248,10.1038476176132,0.650921834774227,2.96,0.407935772816953,0.170205247504343,0.939093053554723,0.0117510691874176,0.925852697488785,42.83,25019
"P076",50.45,3,2023,34.1,15.43,15.21,26.05,31.9,37.95,0.400790513833992,0.527805572675549,0.412828173523927,3.26155629787752,12.7959122843583,0.665449122868248,2.45,0.135937656320534,0.171238748667908,0.8548194290632,0.0459978024506246,0.949350907397505,42.4,504198
"P077",9.47,1,2023,34.7,15.44,9.38,16.89,26.46,38.26,0.245164662833246,0.381294908815973,0.173775978546334,4.00476933512078,11.952440366364,0.70214290385737,2.44,0.30298050231694,0.181904646044614,0.886064920037066,0.0291398565194882,0.952784572180253,45.2,94647
"P078",17.21,2,2019,33.7,15.24,12.36,21.78,31.33,44.13,0.280081577158396,0.405577573938783,0.176906320012043,5.38261652918655,13.5083703345181,0.667541232102206,2.38,0.202133465600804,0.168083429665059,0.897804667125739,0.0224696908965221,0.956419412576554,52.16,172143
"P079",44.6,2,2019,32.7,14.94,12.21,21.16,29.67,40.21,0.303655807013181,0.430854707166424,0.213700753583666,5.11348202191649,11.8900051028971,0.603022173830492,2.55,0.208340562001151,0.161258009296699,0.920294586684952,0.0135732917417377,0.962223821024531,46.61,446244
"P080",8.28,1,2023,32.4,15.07,27.71,32.98,36.73,41.2,0.67257281553398,0.695594303805063,0.683818103763593,3.85018506467157,8.6110472149845,0.321256526698615,17.72,0.0290412726273069,0.0538501276630709,0.953077253327272,0.00774210691596009,0.870412674578234,44.16,82794
"P081",13.02,2,2023,13.6,6.73,8.38,14.15,18.3,23.97,0.349603671255736,0.45725685055822,0.252290745178351,2.13522809682893,7.3624760304395,0.614067463083004,2.4,0.385266066753847,0.202305596463604,0.875257633130422,0.13930299302993,0.945645258160855,27.39,60975
"P082",30.17,1,2023,31.5,14.47,12.45,25.64,37.32,50.72,0.245465299684543,0.388179827740526,0.158047131005284,5.72688415849743,18.0105882409243,0.868000901669839,2.23,0.168063973127128,0.189994646219046,0.774504240914241,0.111263294388417,0.951829691065038,62.95,301537
"P083",13.28,1,2023,35.5,15.49,6.53,13.85,23.8,34.71,0.188130221838087,0.353495827660211,0.165274482238801,4.16247237521787,11.5011991725319,0.83143467504871,1.74,0.307599141033678,0.275952495598863,0.832728248306901,0.0413324596880484,0.937137492082491,41.12,132777
"P084",91.59,4,2019,26.8,12.6,8.22,14.57,22.98,39.23,0.209533520265103,0.322140560071626,0.113566941713781,4.09842105472462,12.7362875114711,1.01454273584346,1.37,0.316629173337055,0.277645080563421,0.683734057164403,0.196220385548263,0.927003227277897,47.87,869930
