"poly_id","VV_gamma0_mean","VV_gamma0_stdDev","VV_gamma0_count","VH_gamma0_mean","VH_gamma0_stdDev","VH_gamma0_count","VV_tsd_mean","VV_tsd_stdDev","VV_tsd_count","VH_tsd_mean","VH_tsd_stdDev","VH_tsd_count","ALL_count","retained_frac"
"P027",-6.77429174503449,0.648189301871479,238,-13.0891304009219,0.71325323829171,238,1.95904616268546,0.121906319130786,238,2.07838685912279,0.123016477423873,238,238,1
"P028",-6.40681312626911,1.83165449678048,388,-12.5845961026739,1.70619929002165,388,2.03707784019048,0.250214125235706,388,2.15250020798612,0.281217829295725,388,388,1
"P029",-7.51359707637971,1.15774656176911,207,-13.7778522257141,1.07353947952741,207,2.00269431460976,0.125328086483694,207,2.11974151033449,0.122591350583187,207,207,1
"P030",-7.17901461261518,0.587959825859432,549,-13.6008729757822,0.690277236358927,549,1.94387584366066,0.111182971471034,549,2.03313033917263,0.123254718490301,549,549,1
"P031",-7.14563917670972,0.75553354719703,251,-13.5990882543084,0.792954022722483,251,2.0333077908141,0.19137079127407,251,2.19393614613981,0.262222357982755,251,251,1
"P032",-7.96101713203533,1.58766447248521,1249,-14.1049746108604,1.45625008749599,1249,2.09002788111177,0.299790920589609,1249,2.31165140104657,0.25133537348476,1249,1249,1
"P033",-7.84644917161576,0.837869963007593,1142,-14.2503618298667,0.816798513993424,1142,2.01347678144232,0.168583470011904,1142,2.19699762522998,0.165538502624127,1142,1142,1
"P034",-7.99583541574251,1.34188802876364,6124,-14.1532505116545,1.23210334780337,6124,2.10574234801793,0.291139652874705,6124,2.32677765173591,0.266679071673927,6124,6124,1
"P035",-7.25484002422272,0.906038415722337,969,-13.3818258660906,0.882799476576522,969,2.01798420626747,0.131682777297853,969,2.20399476889951,0.19001022238864,969,969,1
"P036",-9.18620821384203,2.38008907983016,729,-15.3028097895422,2.18676597967413,729,2.54261000411474,0.748045952835838,729,2.68294285142474,0.614464370756988,729,766,0.9517
"P037",-6.73692323648691,1.21915415666519,541,-13.1736178096829,1.17967851621838,541,1.94593633282453,0.101457796634817,541,2.08150607231039,0.12151431844597,541,541,1
"P038",-7.05294481130572,1.72991904269683,614,-13.4451634298722,1.45353828701127,614,2.13783050975823,0.375023393356812,614,2.28383154442473,0.29828737667269,614,614,1
"P039",-6.92735115506052,1.14892957105703,2220,-13.2618220940626,1.13920340929224,2220,1.99837826451228,0.162560443430595,2220,2.13274954958581,0.190467090273885,2220,2220,1
"P040",-7.15935982760275,1.85842683004957,865,-13.6095152692842,1.78091469457204,865,1.99872896600694,0.248700986792802,865,2.15503911203142,0.264213681831035,865,865,1
"P041",-7.22253303108551,1.93539673337979,612,-13.6759271595017,1.87114491630735,612,2.0455224168154,0.165466936151105,612,2.15631898616202,0.180190877877036,612,612,1
"P042",-8.58846035630434,1.56630707183675,697,-15.5453022552402,1.48006382682339,697,2.14347045276402,0.25585326650614,697,2.46042869205432,0.205386405722895,697,697,1
"P043",-8.87966095837882,0.807642241167158,531,-15.6384195970292,0.835458303312165,531,2.06068987637814,0.144843148760233,531,2.39776400665477,0.161214394141198,531,531,1
"P044",-6.74247741918869,1.24797038956544,553,-13.340504830775,1.20584411132101,553,1.9751083055737,0.132550057726558,553,2.14164807062044,0.179282644388488,553,553,1
"P045",-6.11785501399178,1.9478370654188,250,-12.9840605735683,1.930662912845,250,2.09398253673858,0.189681362783311,250,2.21559445888924,0.17426749128748,250,250,1
"P046",-7.169287425018,1.37887378537126,256,-13.7635301968273,1.23318185528182,256,1.98431834289363,0.137413889797877,256,2.08774133027649,0.151110756606077,256,256,1
