"poly_id","maptile","year","density","projection","filename","s3Url"
"P067","092c068_2_3_4",2023,8,"utm10","bc_092c068_2_3_4_xyes_8_utm10_20231001_20231029.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092c/2023/pointcloud/bc_092c068_2_3_4_xyes_8_utm10_20231001_20231029.laz"
"P067","092c068_2_4_3",2023,8,"utm10","bc_092c068_2_4_3_xyes_8_utm10_20231001_20231029.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092c/2023/pointcloud/bc_092c068_2_4_3_xyes_8_utm10_20231001_20231029.laz"
"P068","092f032_4_4_1",2019,8,"utm10","bc_092f032_4_4_1_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092f/2019/pointcloud/bc_092f032_4_4_1_xyes_8_utm10_2019.laz"
"P069","092f032_4_3_2",2019,8,"utm10","bc_092f032_4_3_2_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092f/2019/pointcloud/bc_092f032_4_3_2_xyes_8_utm10_2019.laz"
"P069","092f032_4_4_1",2019,8,"utm10","bc_092f032_4_4_1_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092f/2019/pointcloud/bc_092f032_4_4_1_xyes_8_utm10_2019.laz"
"P070","092f032_3_4_2",2019,8,"utm10","bc_092f032_3_4_2_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092f/2019/pointcloud/bc_092f032_3_4_2_xyes_8_utm10_2019.laz"
"P070","092f032_4_3_1",2019,8,"utm10","bc_092f032_4_3_1_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092f/2019/pointcloud/bc_092f032_4_3_1_xyes_8_utm10_2019.laz"
"P071","092l048_3_1_1",2019,8,"utm10","bc_092l048_3_1_1_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2019/pointcloud/bc_092l048_3_1_1_xyes_8_utm10_2019.laz"
"P072","092l048_3_1_3",2019,8,"utm10","bc_092l048_3_1_3_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2019/pointcloud/bc_092l048_3_1_3_xyes_8_utm10_2019.laz"
"P072","092l048_3_1_4",2019,8,"utm10","bc_092l048_3_1_4_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2019/pointcloud/bc_092l048_3_1_4_xyes_8_utm10_2019.laz"
"P073","092l048_3_1_3",2019,8,"utm10","bc_092l048_3_1_3_xyes_8_utm10_2019.laz","https://nrs.objectstore.gov.bc.ca/gdwuts/092/092l/2019/pointcloud/bc_092l048_3_1_3_xyes_8_utm10_2019.laz"
